,target,state_var,test_score,train_mean,train_std,cv_mean,cv_std,strategy,dataset
36,output_Rg,state_Flux,-0.41137410913365685,-0.3688365552585225,0.0060598108352426456,-0.381914985063014,0.02876881947764968,5_folds,HydroShoot_large
37,output_An,state_Flux,-0.6081865456415766,-0.5630266734498943,0.0063562270092149984,-0.5784008259844787,0.02686352743613766,5_folds,HydroShoot_large
38,output_E,state_Flux,-0.35499541137954016,-0.3172881858221255,0.0062318611614134226,-0.32823975265147765,0.031624093218535994,5_folds,HydroShoot_large
39,output_Tleaf,state_Flux,-0.3388631464307154,-0.33074363832232967,0.006360901480130114,-0.37257976722493674,0.034627085290707356,5_folds,HydroShoot_large
40,input_Tac,state_FluxC,-0.41675146246443573,-0.42476798929180354,0.009419589036719156,-0.4877062868593763,0.05237528307414558,5_folds,HydroShoot_large
41,input_u,state_FluxC,-0.6478688867950414,-0.5753695818159424,0.013049679364131404,-0.622288120546518,0.06359610576517277,5_folds,HydroShoot_large
42,input_hs,state_FluxC,-0.7344682303237317,-0.5392866111548051,0.012252975264011699,-0.5926692463398372,0.05895338298445436,5_folds,HydroShoot_large
43,input_Rg,state_FluxC,-0.3494713186326976,-0.3095981443209665,0.003833240918770484,-0.32199371836204377,0.017085948947800546,5_folds,HydroShoot_large
44,output_Rg,state_FluxC,-0.4069604360276948,-0.3765664378549033,0.003570310448821065,-0.38699577844650146,0.01655675668115721,5_folds,HydroShoot_large
45,output_An,state_FluxC,-0.5250575833339227,-0.49377312757734015,0.005471740707425752,-0.502802145326011,0.023836641113597522,5_folds,HydroShoot_large
46,output_E,state_FluxC,-0.3645922018910088,-0.34234947196909543,0.0054237666778857874,-0.35410758308647833,0.02643187573027195,5_folds,HydroShoot_large
47,output_Tleaf,state_FluxC,-0.3881841919516698,-0.3923251232584202,0.009104339318019105,-0.4424874009886891,0.046883514690419785,5_folds,HydroShoot_large
48,input_Tac,state_Tlc,-0.23455861855652205,-0.20251657437611753,0.005271739059671391,-0.22294089385371701,0.03250654306272454,5_folds,HydroShoot_large
49,input_u,state_Tlc,-0.6520159327288436,-0.5722010618734346,0.013696825355343174,-0.6250902013973868,0.059604177376618474,5_folds,HydroShoot_large
50,input_hs,state_Tlc,-0.7242623091279685,-0.5562091245838336,0.011918823910827447,-0.5988510946116479,0.04397095092220538,5_folds,HydroShoot_large
51,input_Rg,state_Tlc,-0.3229678175481885,-0.28205427321478826,0.002745303939303844,-0.2998860597552609,0.011214819470656846,5_folds,HydroShoot_large
52,output_Rg,state_Tlc,-0.37787802677435023,-0.3442571202306723,0.0034358992031292145,-0.36279272526781065,0.015881736296097265,5_folds,HydroShoot_large
53,output_An,state_Tlc,-0.5577056323728002,-0.5142078564896548,0.007066080889945352,-0.5394654719294413,0.03257871404282353,5_folds,HydroShoot_large
54,output_E,state_Tlc,-0.41197477499799007,-0.35982667534620405,0.007614694144301544,-0.3769067622373984,0.038092786994704045,5_folds,HydroShoot_large
55,output_Tleaf,state_Tlc,-0.24827051298894945,-0.22404568896453006,0.004554244398134639,-0.24190616673096121,0.028375707473548926,5_folds,HydroShoot_large
56,input_Tac,state_gb,-0.9294373802933388,-0.7452416269172214,0.018019910368838106,-0.9282594103515196,0.16697481431243158,5_folds,HydroShoot_large
57,input_u,state_gb,-0.3003918689629653,-0.3191555421420661,0.0011346523517243073,-0.3234455391946034,0.005163135234743352,5_folds,HydroShoot_large
58,input_hs,state_gb,-0.9991595399303659,-0.7715618808651963,0.024572372862413525,-0.8825503197295603,0.07843621331214871,5_folds,HydroShoot_large
59,input_Rg,state_gb,-0.955284822579793,-0.9058448985057101,0.007640072858315151,-0.9334738902984231,0.03341080922588174,5_folds,HydroShoot_large
