,target,state_var,dataset,note,test_score,train_mean,train_std,cv_mean,cv_std
68,output__axes__SAM_temperature,state__Rd,combined,,-0.19576093348776427,-0.028666239204990354,0.0010642380467553885,-0.19495342065987206,0.4312199036042809
69,output__axes__SAM_temperature,state__sum_respi,combined,,-0.4136607516836314,-0.08376567929299504,0.0052315887037191686,-0.8999000754621526,1.7154706164069933
70,output__axes__SAM_temperature,state__Photosynthesis,combined,,-0.6865485885038922,-0.4985552657834382,0.012346263057585034,-3.2412184612078763,6.923875963063385
71,output__axes__SAM_temperature,state__PARa,combined,,-0.7531926415714502,-0.7228871901701385,0.011738495528814142,-4.065503720460575,9.080653970795646
72,output__axes__delta_teq,state__An,combined,,-0.4607215309932745,-0.28393333907899043,0.009572725042703902,-2.4631880226750615,5.820254088099822
73,output__axes__delta_teq,state__Transpiration,combined,,-0.5122634266293417,-0.27550840044849395,0.008236423866111103,-3.0052490975136323,7.294690715015838
74,output__axes__delta_teq,state__S_Sucrose,combined,,-0.7537952710940709,-0.6794128786885851,0.01737950569210438,-6.94586052381175,18.56093680115625
75,output__axes__delta_teq,state__Ts,combined,,-0.03603307252315597,-0.01101610564674228,0.0006220180732772859,-0.14324721332922255,0.4000996232601984
76,output__axes__delta_teq,state__gs,combined,,-0.5358912959343118,-0.3945511106946165,0.012834658485407727,-3.081848967244593,6.9381091375557675
77,output__axes__delta_teq,state__Ag,combined,,-1.5557072177727183,-0.4160450383288417,0.016186701319316706,-4.1238276402265654,9.094847708804185
78,output__axes__delta_teq,state__Tr,combined,,-0.3812426344614202,-0.18215762967376842,0.0071459186363291,-2.0372726888439616,4.765283834781323
79,output__axes__delta_teq,state__sucrose,combined,,-0.8694031741237221,-0.7695298205386847,0.017889689962127614,-9.402932778517803,26.48260277008572
80,output__axes__delta_teq,state__Rd,combined,,-0.1809840893797764,-0.0439517978598274,0.003756645069900181,-0.2511951098115243,0.43221040779758474
81,output__axes__delta_teq,state__sum_respi,combined,,-0.4768071960694467,-0.09279114291714406,0.004241862402148897,-1.2567177641786236,2.887417844474301
82,output__axes__delta_teq,state__Photosynthesis,combined,,-0.7808148307243193,-0.519845457325162,0.010920213514683919,-5.654401939259221,14.758864651859794
83,output__axes__delta_teq,state__PARa,combined,,-0.7505234042435551,-0.7299735660866655,0.010919597957119845,-7.156439113196672,20.3320289533192
84,output__axes__sum_respi_shoot,state__An,combined,,-0.8415370946789161,-0.481299476738378,0.019684679155196644,-11.46521744877886,10.730393996351879
85,output__axes__sum_respi_shoot,state__Transpiration,combined,,-0.9667064290856173,-0.6173053773705435,0.04593509436358946,-14.16831303580648,20.39561261419726
86,output__axes__sum_respi_shoot,state__S_Sucrose,combined,,-0.8344402979281897,-0.7860248184643176,0.034498498731418005,-13.895529566035734,15.59944428184815
87,output__axes__sum_respi_shoot,state__Ts,combined,,-0.9136960212061705,-0.6258011885562835,0.028489796151660897,-15.900446486525441,15.881073737562572
88,output__axes__sum_respi_shoot,state__gs,combined,,-0.7758298203408628,-0.7114699638730867,0.018316518381239297,-12.740577419719576,12.452890522218095
89,output__axes__sum_respi_shoot,state__Ag,combined,,-0.8266292348072208,-0.7505538054812178,0.028220216301602936,-13.718654957722313,14.933225001263192
90,output__axes__sum_respi_shoot,state__Tr,combined,,-1.0447088636038997,-0.5410589074052778,0.032116138121442574,-13.464651193595259,16.845892153233056
91,output__axes__sum_respi_shoot,state__sucrose,combined,,-1.636685940996259,-0.4932158305125513,0.03110066308018256,-11.084667950028358,11.820870106396685
92,output__axes__sum_respi_shoot,state__Rd,combined,,-0.6997167342439424,-0.43557875092845527,0.03167014396564743,-10.125784581735894,11.623200961624306
93,output__axes__sum_respi_shoot,state__sum_respi,combined,,-0.5599359218389083,-0.3421062280825387,0.018981690009502283,-7.836223330555322,10.342036555570559
94,output__axes__sum_respi_shoot,state__Photosynthesis,combined,,-0.8274534745925667,-0.6833617348844158,0.02067700868784818,-10.638876483015142,11.353461785528504
95,output__axes__sum_respi_shoot,state__PARa,combined,,-0.9394674001956268,-0.912604242909647,0.014893657462470306,-16.94560523507041,18.93244792196868
96,output__organ_roots__N_exudation,state__An,combined,,-1.568439622244974,-0.3423725118553823,0.010912930680863535,-1.272790849292145,1.2631898143480877
97,output__organ_roots__N_exudation,state__Transpiration,combined,,-1.1251293455499358,-0.5763627033157147,0.026222987037483304,-1.5163875777816913,1.1393866078030506
98,output__organ_roots__N_exudation,state__S_Sucrose,combined,,-0.8241886675604161,-0.3934431756135666,0.014063089990289305,-1.250003527489005,0.7538084145273083
99,output__organ_roots__N_exudation,state__Ts,combined,,-0.8469786699198188,-0.3313681658746557,0.01721848480104663,-1.2480855568014952,1.1128744471543897
100,output__organ_roots__N_exudation,state__gs,combined,,-0.721158834649164,-0.3808320234072379,0.01712666991312564,-1.1058677578942973,0.5822107204434764
101,output__organ_roots__N_exudation,state__Ag,combined,,-0.7744041118940114,-0.3861508858747695,0.0176541923221113,-1.2742171693119642,1.0667879959133013
102,output__organ_roots__N_exudation,state__Tr,combined,,-0.7925793711308957,-0.39525857109427553,0.018780529158433205,-1.3653602790233503,0.8767886563194973
103,output__organ_roots__N_exudation,state__sucrose,combined,,-0.8539759531271881,-0.46482027696983685,0.012495490506991613,-1.1752114975115886,0.5921012841898473
104,output__organ_roots__N_exudation,state__Rd,combined,,-1.402217438090964,-0.33367718879733177,0.010262269580866545,-0.9871474606547115,0.7095243873832656
105,output__organ_roots__N_exudation,state__sum_respi,combined,,-0.6178539539995744,-0.217257941276673,0.006583047673227097,-0.597613730831554,0.2583489364871931
106,output__organ_roots__N_exudation,state__Photosynthesis,combined,,-1.0156899545811184,-0.5444179211276202,0.013891413794980392,-1.4888845824769408,0.8890238592139805
107,output__organ_roots__N_exudation,state__PARa,combined,,-1.4805704655691905,-0.8941369056975874,0.015376988910394601,-3.1069219534799175,4.187309410958145
108,input_air_temperature,env_res,combined_env_res,,-2.926753983023303e-14,-3.238962433192596e-14,4.5394909788030406e-15,-3.036496155900328e-13,6.362464335435925e-13
109,input_air_temperature,env_temp_only,combined_env_temp_only,,-1.7592195239657435e-14,-1.9129021505278157e-14,2.9311196551157723e-15,-1.6363020490989026e-13,4.0237776164617913e-13
