,target_id,reservoir_id,dataset_id,benchmark,exponent,test_score,train_mean,train_std,cv_mean,cv_std
723,output__axes__delta_teq,state__Rd,NEMA_combined,polynomial,4,-0.22455869073313406,-0.1595241095875012,0.005862760858071358,-2.50893158529887,5.089092286278598
724,output__axes__delta_teq,state__Rd,NEMA_combined,polynomial,5,-0.4114191786623423,-0.33026387994917017,0.019178491559747927,-7.989289038209256,16.118174590805562
725,output__axes__delta_teq,state__Rd,NEMA_combined,polynomial,6,-0.4736330504976756,-0.38413626916247384,0.02367072296677353,-23.82343807482885,59.46948217655923
726,output__axes__delta_teq,state__Rd,NEMA_combined,polynomial,7,-0.5039564009017365,-0.40790346788684656,0.02515028568587156,-92.74496733890847,301.55570402734514
727,output__axes__delta_teq,state__Rd,NEMA_combined,polynomial,8,-0.5297811144161896,-0.42992696292992294,0.026334471839352853,-430.6132471360287,1639.6506462499385
728,output__axes__delta_teq,state__Rd,NEMA_combined,polynomial,9,-0.5517898644547016,-0.45003988530540096,0.02726933827363396,-2134.4651109865868,8748.522272999619
729,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,1,-0.13430226505207707,-0.13661492612010523,0.008103979636579156,-0.5505472866246233,0.47540076139103576
730,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,2,-0.130641028464799,-0.12004035556494537,0.008952644925653803,-0.6187230483769998,0.8153569872129044
731,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,3,-0.17053603056300237,-0.13459539993979838,0.008981836365459064,-1.3733309014250232,2.378193599504441
732,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,4,-0.42741720535273003,-0.37458880972151426,0.02015401897609044,-4.809256060596235,12.091617678943846
733,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,5,-0.480246429090593,-0.4328961653295412,0.024126002193691248,-10.684818784716708,26.79383962916659
734,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,6,-0.5201328471587529,-0.47579625483918014,0.026828173502133634,-26.477430837890473,63.9221390482654
735,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,7,-0.5591746391542802,-0.5194989322685206,0.02932642606598906,-74.06987749137691,178.21133316626117
736,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,8,-0.5794852335890864,-0.5373300694032939,0.03027209316953809,-236.1875622342763,641.5908662581888
737,output__axes__delta_teq,state__sum_respi,NEMA_combined,polynomial,9,-0.613971337254811,-0.5784677333791071,0.03225102852014439,-798.5285206756128,2464.1982487461887
