,target_id,reservoir_id,dataset_id,benchmark,lookahead,test_score,train_mean,train_std,cv_mean,cv_std
52,input_air_temperature,state__sucrose,NEMA_combined,near_future_pred,3,-0.8653478349402345,-0.7812179315737654,0.023096016008444024,-3.2032953111468254,3.224632691787659
53,input_air_temperature,state__sucrose,NEMA_combined,near_future_pred,4,-0.9114851950560235,-0.8435414712321361,0.018502856652450272,-2.7460864698723526,2.554194014023326
54,input_air_temperature,state__sucrose,NEMA_combined,near_future_pred,5,-0.9450628493990414,-0.8730922450652645,0.015116834799727167,-2.4283931475541936,2.190964878362028
55,input_air_temperature,state__sucrose,NEMA_combined,near_future_pred,6,-0.9651525092171049,-0.884998600216187,0.012466383903037384,-2.143805918065339,1.847354940611359
56,input_air_temperature,state__Rd,NEMA_combined,near_future_pred,0,-0.07190956292412197,-0.054138086107264206,0.001124331190665042,-0.19573249097668227,0.1213475723364019
57,input_air_temperature,state__Rd,NEMA_combined,near_future_pred,1,-0.17988723325462683,-0.1534002127984732,0.004552611389407439,-0.5387771261312718,0.257234245865725
58,input_air_temperature,state__Rd,NEMA_combined,near_future_pred,2,-0.33210455311277265,-0.2914468264977753,0.008674318102298698,-0.9477113442405912,0.4636909122405954
59,input_air_temperature,state__Rd,NEMA_combined,near_future_pred,3,-0.47655168057930936,-0.4484940038735005,0.012172870289845154,-1.3602560289370107,0.6678982700740745
60,input_air_temperature,state__Rd,NEMA_combined,near_future_pred,4,-0.6187983150194084,-0.5892105874009425,0.013293219024305976,-1.5363866341229646,0.7764749877732349
61,input_air_temperature,state__Rd,NEMA_combined,near_future_pred,5,-0.7277807256581079,-0.6973439445064346,0.012468079825316381,-1.6548265863373655,0.8626921645744834
62,input_air_temperature,state__Rd,NEMA_combined,near_future_pred,6,-0.81069132013148,-0.777943540964403,0.011701568435462288,-1.7145491354996536,0.9046565751302368
63,input_air_temperature,state__sum_respi,NEMA_combined,near_future_pred,0,-0.14910134255544158,-0.13232690703227495,0.0061340932091183365,-0.5643897268039566,0.4041618876288206
