,target_id,reservoir_id,dataset_id,test_score,train_mean,train_std,cv_mean,cv_std
39,output_E,state_gs,HydroShoot_large,-0.4288852496548323,-0.4339194919694312,0.007255889796153803,-0.45038300174204426,0.0323304212896077
40,output_E,state_psi_head,HydroShoot_large,-0.3378559809066317,-0.3146345749587224,0.004770542300589119,-0.32238140287880346,0.02381466925007408
41,output_E,state_E,HydroShoot_large,-0.3702664633945907,-0.34458714066658946,0.006666501930076347,-0.3525550544292564,0.03238556429384973
42,output_Tleaf,state_An,HydroShoot_large,-0.43568202169065967,-0.4630045985690395,0.012107850458189105,-0.5098040093746548,0.05340505706126602
43,output_Tleaf,state_Tlc,HydroShoot_large,-0.2502054316407568,-0.23489381840415144,0.0050341257992953135,-0.25076762261121904,0.031435793206032854
44,output_Tleaf,state_Flux,HydroShoot_large,-0.35429264063294974,-0.3635085007575549,0.0072179035094390165,-0.40024624927346775,0.0381568363872827
45,output_Tleaf,state_gs,HydroShoot_large,-0.4301314664180084,-0.47060388682303766,0.014321606688100733,-0.524059044806874,0.05545432017830807
46,output_Tleaf,state_psi_head,HydroShoot_large,-0.3526677356775949,-0.34512229471754347,0.0051922580897973865,-0.3784482199259468,0.032897742982478904
47,output_Tleaf,state_E,HydroShoot_large,-0.3550879941322546,-0.36433258247029265,0.00721419100461374,-0.39924327726688325,0.03991509838668022
48,input_Tac,state__het_all,HydroShoot_large,-0.2278127831252033,-0.1934950641637728,0.004816210028357715,-0.22870203159963856,0.030210390317788778
49,input_u,state__het_all,HydroShoot_large,-0.6016014090246316,-0.4873670173416735,0.012693323684451417,-0.6014004358083992,0.08257641586981856
50,input_hs,state__het_all,HydroShoot_large,-0.42362832221589947,-0.3121543414872351,0.006320198390762651,-0.3580863907137569,0.03411158070229434
51,input_Rg,state__het_all,HydroShoot_large,-0.30908166800878706,-0.22882127897456414,0.004505361183394057,-0.28456436611120783,0.024607894821596803
52,output_Rg,state__het_all,HydroShoot_large,-0.35474975727668395,-0.2824498238436322,0.006238506663593295,-0.341469413698685,0.030904830587604133
53,output_An,state__het_all,HydroShoot_large,-0.44338142345002407,-0.42094559725257386,0.0057686827359615936,-0.44384911092505613,0.022002963293676226
54,output_E,state__het_all,HydroShoot_large,-0.32256795247165815,-0.2684765001801651,0.005415237817831021,-0.3097670161549118,0.022426666627706177
55,output_Tleaf,state__het_all,HydroShoot_large,-0.24318049257553914,-0.2177905422529805,0.004182165934393185,-0.24628555308662842,0.027491427546536943
