,target_id,reservoir_id,dataset_id,benchmark,narma_n,test_score,train_mean,train_std,cv_mean,cv_std
69,input_air_temperature,state__PARa,NEMA_combined,NARMA,20,-0.936238224141136,-0.910241266580359,0.009450611928882363,-12.503871030676228,27.99219698740961
70,input_air_temperature,state__PARa,NEMA_combined,NARMA,50,-0.949957858727367,-0.8336155440413382,0.01033936092184739,-4.780922452471741,6.556204052988617
71,input_air_temperature,state__PARa,NEMA_combined,NARMA,100,-0.9189927395248971,-0.8408844926542394,0.010352328890207131,-3.32803507083146,3.964400366817435
72,input_humidity,state__An,NEMA_combined,NARMA,2,-0.7805698920378451,-0.6448970746061914,0.02731006628968403,-1.5928818518941537,1.7548148783141853
73,input_humidity,state__An,NEMA_combined,NARMA,5,-0.905397526150692,-0.6799530047926227,0.031708865313071447,-1.6189240663754112,1.2763209283325965
74,input_humidity,state__An,NEMA_combined,NARMA,10,-1.064543747227215,-0.6184502104010795,0.037364876724854765,-2.3777361713743987,2.383117906555963
75,input_humidity,state__An,NEMA_combined,NARMA,20,-1.3077423910674923,-0.6195725665762042,0.015922724118402426,-1.1568549712363403,0.7098266771486903
76,input_humidity,state__An,NEMA_combined,NARMA,50,-1.438964157548262,-0.6577682573262982,0.015403150276820331,-1.0773869247339098,0.46926390496178305
77,input_humidity,state__An,NEMA_combined,NARMA,100,-0.8132472850319566,-0.6827607797642878,0.01988146333773328,-1.0317607771489716,0.3234979181703601
78,input_humidity,state__Transpiration,NEMA_combined,NARMA,2,-0.3357881830186009,-0.29629002287164763,0.017829441724088853,-0.6531374720402212,0.5385757117270855
79,input_humidity,state__Transpiration,NEMA_combined,NARMA,5,-0.46076374084283933,-0.38072567628962795,0.026914106543016146,-0.9588558282796452,1.0905059679419673
80,input_humidity,state__Transpiration,NEMA_combined,NARMA,10,-0.6087244661324257,-0.5021621239522102,0.04076921520626643,-1.8870184270330508,2.7928422574557294
81,input_humidity,state__Transpiration,NEMA_combined,NARMA,20,-1.17602817414406,-0.6255626169469228,0.014432301408301075,-1.1113775108884636,0.5782742290709743
82,input_humidity,state__Transpiration,NEMA_combined,NARMA,50,-1.019085744361048,-0.5757545385099632,0.01388259149959326,-1.0448892200925306,0.8375408691024624
83,input_humidity,state__Transpiration,NEMA_combined,NARMA,100,-0.4695753178453408,-0.3942825346703214,0.011933956094541124,-0.6433217955849848,0.39040429058564646
84,input_humidity,state__S_Sucrose,NEMA_combined,NARMA,2,-0.8568681053364874,-0.7759714642419944,0.02147336506266,-2.2348297773446086,3.3814180126538074
85,input_humidity,state__S_Sucrose,NEMA_combined,NARMA,5,-0.9373537192654449,-0.7677826198656071,0.026258999307874824,-2.1805306842615964,2.475737216621487
86,input_humidity,state__S_Sucrose,NEMA_combined,NARMA,10,-1.0308071553243243,-0.6999341740623506,0.02596078686084209,-2.6950397626986176,3.159075842757535
87,input_humidity,state__S_Sucrose,NEMA_combined,NARMA,20,-1.3388651680088348,-0.6470164605271569,0.013345307816738892,-1.1615253771058018,0.7332327608963926
88,input_humidity,state__S_Sucrose,NEMA_combined,NARMA,50,-1.4841971607103737,-0.7097920539240725,0.01299993654100229,-1.176052746221954,0.46456260882149314
89,input_humidity,state__S_Sucrose,NEMA_combined,NARMA,100,-0.9140485043073849,-0.8093450527825189,0.016008737101424655,-1.3349038835912967,0.7196817789192117
90,input_humidity,state__Ts,NEMA_combined,NARMA,2,-0.31396413301794174,-0.31391771371152954,0.018409692302308548,-0.6336002267887586,0.3160686487108539
91,input_humidity,state__Ts,NEMA_combined,NARMA,5,-0.3839059592734686,-0.3503522009093475,0.024397164492627167,-0.8250267786329413,0.8464099894586196
92,input_humidity,state__Ts,NEMA_combined,NARMA,10,-0.5797135251119037,-0.45777302332223835,0.03660843001484083,-1.8359623716605487,3.23646352314666
93,input_humidity,state__Ts,NEMA_combined,NARMA,20,-1.3910065610860998,-0.7247907617134896,0.012558806263027895,-1.300073869356793,0.7495613358985329
94,input_humidity,state__Ts,NEMA_combined,NARMA,50,-1.1425892298103761,-0.5784405329177541,0.017848537269480658,-1.0811899570551706,0.8704628835665545
95,input_humidity,state__Ts,NEMA_combined,NARMA,100,-0.5570046214532697,-0.4275414560492018,0.011356191111314645,-0.6837548589423663,0.40602283693869196
96,input_humidity,state__gs,NEMA_combined,NARMA,2,-0.7437644197802942,-0.703803253516157,0.020177514205557377,-2.23892169278489,3.3373074902281448
97,input_humidity,state__gs,NEMA_combined,NARMA,5,-0.7762882144383203,-0.6306274889932275,0.021910534057024172,-2.078366469527108,2.627539386522641
98,input_humidity,state__gs,NEMA_combined,NARMA,10,-0.8786933909010883,-0.6814188376023593,0.01986846565951214,-2.6784826267085675,3.394664064374141
